subset,invariance_score,predictiveness_train,predictiveness_val,predictiveness_test,skill_score_test,regret_cluster_0,regret_cluster_1,regret_cluster_2,regret_cluster_3,regret_cluster_4
"{TA, SW_IN, SW_IN_POT_daily, dSW_IN_POT_daily, NDWI_SWIR2}",5.86372739162542e-07,0.06151206048473491,0.056365860294271236,0.06395768613511815,-0.10890531004785835,0.003467147708924735,0.0024940273094033807,0.0012970138292624639,0.0032900981387511616,0.0026519542407270474
"{SW_IN, SW_IN_POT, dSW_IN_POT_daily, LST_Day, LST_Night, EVI, NDWI_SWIR2}",4.7191006783596633e-07,0.05789500643460152,0.05352110446772756,0.06064474170810201,0.00964655894250079,0.0026540045030720508,0.0023684012419336944,0.0014998759923465499,0.0011399992988276667,0.002937148247786972
"{TA, VPD, SW_IN_POT_daily, dSW_IN_POT, LST_Night, EVI, NIRv}",1.4891492034124928e-07,0.07518325736718036,0.0627080711114882,0.0837816682641284,-0.3517067073311926,0.002378524165874668,0.0018692177840102797,0.0029672005524042228,0.00278706479584611,0.00269814567578959
"{SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT, dSW_IN_POT_daily, LST_Day, PFT}",6.552807454354939e-06,0.06978042158478352,0.06848426099084808,0.07448699529939679,-0.07332497092179541,0.006588060469509195,0.0017504463889166239,0.00415216048303664,1.0095944423610392e-05,0.006311914460032
"{SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT_daily, LST_Day, LST_Night, NDWI_SWIR2, PFT}",8.053418983425423e-07,0.06481122636994154,0.06704873102195537,0.07507225599464984,-0.1160414651021565,0.0020057450773485266,0.002670366537357513,0.0022648324505564893,0.0007883434144201965,0.003535973406378859
"{TA, SW_IN_POT, dSW_IN_POT_daily, LST_Night, EVI, NDWI_SWIR2, PFT}",2.3795846329951165e-06,0.060770351488886265,0.05953806838866535,0.0681559263730388,-0.0740815270424618,0.0020840934247091034,0.003380116403581372,0.001936668631796229,0.0008725323271526336,0.005371688950242148
"{SW_IN, SW_IN_POT, SW_IN_POT_daily, LST_Day, EVI, NDWI_SWIR2, PFT}",1.1373109771267466e-06,0.05607574577982688,0.05366775945912798,0.06019488694893491,0.14984589420437072,0.002531690144809487,0.0029346267449885458,0.0012961812897667804,0.0010415376745425628,0.003927724358924453
"{TA, SW_IN, SW_IN_POT, dSW_IN_POT, LST_Day, NIRv}",5.210476052823672e-07,0.06061556298013433,0.05232836789010431,0.06326153724927529,-0.0417649874052927,0.0011129795396192937,0.0014430460515737695,0.0029642381588801878,0.0011782227854351401,0.0023136113988135865
"{TA, SW_IN, LST_Day, NDWI_SWIR2}",1.991621348307847e-07,0.06375598151867881,0.05688481203542891,0.06279810354067014,0.02202391473697333,0.003224254995514292,0.002425148134503202,0.0018624896535011648,0.0022709106726269204,0.0025979949738799274
"{TA, VPD, SW_IN, SW_IN_POT, dSW_IN_POT, LST_Day, LST_Night, NDWI_SWIR2, PFT}",1.1238690436084807e-06,0.055151566030938286,0.054456514018212436,0.06286337785414889,0.06906136049630503,0.0025254124087881052,0.003298440325564145,0.0017361137506550633,0.0009675832581519037,0.003931677923984897
"{TA, SW_IN_POT_daily, dSW_IN_POT, LST_Night, EVI}",6.954598791758014e-07,0.08037046696932193,0.07107169691598687,0.09419989558308126,-0.531881156540961,0.0021265099314757147,0.002268823156005781,0.0029354222533937296,0.004397942063746406,0.0023848126169115497
"{VPD, SW_IN_POT_daily, LST_Day, LST_Night, EVI, PFT}",3.905465915425797e-07,0.08135048854503328,0.07375046733070273,0.08433637665887989,-0.27920590152711533,0.0007787588344012886,0.001964964293660318,0.0016025276515214681,0.0009553325360091222,0.0024606954837181477
